CODE,Control/Intervention,Grade in Course,Class Year,Gender,Race/Ethnicity,Fall 2017 GPA,Chem 126 Grade,Pell 2017-18,Pell 2018-19,SQA (1-7),SQB,SQC,SQD,First Generation?,1st Sem GPA (excl Chem),ACT Comp,ACT English,ACT Reading,ACT Math,ACT Science,ACT Writing,SAT Com,SAT Math,SAT Verbal,SAT Writing,New SAT Com,New SAT Math,New SAT Verbal,New SAT R/W,New SAT Writing,Chem 123 Interim?,Course
17500,I,2.3,2021,M,White,2.9,C+,NO Pell,NO Pell,6,5,6,3,N,3.1,,,,,,,1470,670,800,620,1500,730,770,,39,NA,125
17506,I,3.7,2021,F,White,3.6,B,NO Pell,NO Pell,3,4,5,3,N,3.56,32,31,34,32,35,,,,,,,,,,,NA,125
17507,C,3,2021,F,White,3.75,None,NO Pell,NO Pell,4,4,5,6,N,4,31,33,30,27,34,,,,,,,,,,,NA,125
17518,I,3,2021,F,White,3.75,A,NO Pell,NO Pell,5.5,6,6,5,N,4,31,30,34,28,30,8,,,,,,,,,,NA,125
17527,I,3.3,2021,M,White,3.75,None,NO Pell,NO Pell,5,5,7,3,N,3.9,35,34,36,34,34,10,,,,,,,,,,NA,125
17528,I,2,2021,F,White,3.5,None,NO Pell,NO Pell,3,4,6,5,N,4,33,35,36,35,32,,,,,,,,,,,NA,125
17530,I,2,2021,M,White,3.15,C+,YES Pell,YES Pell,5,6,7,2,N,3.53,25,26,24,28,22,,,,,,,,,,,NA,125
17535,I,4,2021,F,White,3.92,A,NO Pell,NO Pell,3,3,3,5,N,3.9,33,31,33,34,33,11,,,,,,,,,,NA,125
17547,I,2.3,2021,F,White,3.14,None,YES Pell,YES Pell,4,4,4,1,N,3.52,33,34,36,30,33,,,,,,,,,,,NA,125
17548,I,4,2021,M,White,4,None,NO Pell,NO Pell,5,5,5,6,N,4,36,36,36,35,36,,1560,800,760,800,,,,,,NA,125
17550,C,2.3,2021,F,Hispanic,3.32,C+,NO Pell,NO Pell,6,5,5,2,N,3.66,30,34,31,27,30,,,,,,,,,,,NA,125
17556,C,2,2021,F,White,3.22,C+,NO Pell,NO Pell,7,7,7,2,N,3.6,32,35,35,31,26,10,1400,670,730,750,,,,,,NA,125
17557,C,4,2021,F,White,3.92,A,NO Pell,NO Pell,5,5,6,6,N,3.9,34,31,34,34,36,,,,,,,,,,,NA,125
17563,C,3.7,2021,M,NRA,3.85,A,NO Pell,NO Pell,5,7,5,2,N,3.9,33,35,30,35,33,9,,,,,1500,760,740,,37,NA,125
17569,I,4,2021,F,White,3.83,A,NO Pell,NO Pell,4,4,5,3,N,3.78,33,36,34,33,30,9,,,,,1520,760,760,,37,NA,125
17576,I,3,2021,M,White,3.5,None,NO Pell,NO Pell,5,4,4,2,Y,3.66,28,29,23,28,30,9,,,,,,,,,,NA,125
17578,I,3.3,2021,F,White,3.82,A,NO Pell,NO Pell,4,4,5,3,N,4,31,33,30,28,31,,,,,,,,,,,NA,125
17580,I,3,2021,F,White,3.42,A,NO Pell,NO Pell,6,5,6,6,N,3.56,33,35,35,32,34,,,,,,,,,,,NA,125
17582,I,2,2021,F,Race and Ethnicity unknown,3.25,None,NO Pell,NO Pell,6,6,7,3,N,3.66,31,31,32,29,33,,,,,,,,,,,NA,125
17587,C,4,2021,F,White,3.92,A,NO Pell,NO Pell,7,7,7,1,N,3.9,33,31,32,32,36,,,,,,,,,,,NA,125
17589,I,4,2021,M,White,4,None,YES Pell,YES Pell,6,6,7,2,N,4,34,33,33,36,36,10,1370,730,640,660,,,,,,NA,125
17592,I,2,2021,F,White,3.25,None,NO Pell,NO Pell,4,5,5,5,N,3.66,33,36,35,30,33,9,,,,,,,,,,NA,125
17601,C,1,2021,F,White,1.67,C-,YES Pell,YES Pell,5,5,6,2,Y,1.9,23,22,21,29,21,,,,,,,,,,,NA,125
17606,I,withdrawn,2021,M,Asian,3.7,None,NO Pell,NO Pell,2,3,4,5,Y,3.7,,,,,,,,,,,1390,680,710,,35,NA,125
17610,C,3.3,2021,F,Asian,3.82,A-,NO Pell,NO Pell,5,5,5,5,N,4,30,35,33,24,28,,,,,,,,,,,NA,125
17612,C,3,2021,F,White,3.32,B,NO Pell,NO Pell,4,3,4,3,N,3.43,31,33,34,28,28,,,,,,,,,,,NA,125
17613,I,4,2021,F,White,4,A,NO Pell,NO Pell,5,5,5,3,N,4,35,36,36,32,36,,,,,,,,,,,NA,125
